Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-30	-30	1.75	1.4	0.8	0	0	0	0
-25	-30	1.75	2.93	1.67	0	0	0	0
-20	-30	1.75	5.36	3.06	0	0	0	0
-15	-30	1.75	9.25	5.28	0	0	0	0
-10	-30	1.75	13.94	7.98	0	0	0	0
-5	-30	1.75	18.39	10.49	0	0	0	0
0	-30	0.94	11.33	12.05	0	0	0	0
5	-30	1.58	18.46	11.69	0	0	0	0
10	-30	1.71	16.59	9.7	0	0	0	0
15	-30	1.74	11.72	6.75	0	0	0	0
20	-30	1.75	7.22	4.13	0	0	0	0
25	-30	1.75	4.06	2.32	0	0	0	0
30	-30	1.75	2.18	1.24	0	0	0	0
-30	-25	1.75	2.65	1.51	0	0	0	0
-25	-25	1.75	6.13	3.49	0	0	0	0
-20	-25	1.75	12.28	7	0	0	0	0
-15	-25	1.75	22.26	12.7	0	0	0	0
-10	-25	1.75	35.1	20.02	0	0	0	0
-5	-25	1.75	47.88	27.31	0	0	0	0
0	-25	1.75	55.63	31.73	0	0	0	0
5	-25	1.75	54.04	30.82	0	0	0	0
10	-25	1.75	43.07	24.57	0	0	0	0
15	-25	1.75	28.02	15.99	0	0	0	0
20	-25	1.75	15.28	8.72	0	0	0	0
25	-25	1.75	7.43	4.24	0	0	0	0
30	-25	1.75	3.48	1.99	0	0	0	0
-30	-20	1.75	4.77	2.72	0	0	0	0
-25	-20	1.75	11.92	6.8	0	0	0	0
-20	-20	1.75	25.57	14.58	0	0	0	0
-15	-20	1.75	47.93	27.34	0	0	0	0
-10	-20	1.75	78.65	44.87	0	0	0	0
-5	-20	1.75	110.43	63.24	0	0	0	0
0	-20	1.75	130.9	74.67	0	0	0	0
5	-20	1.11	80.42	72.21	0	0	0	0
10	-20	1.6	88.85	55.4	0	0	0	0
15	-20	1.72	58.53	34.07	0	0	0	0
20	-20	1.75	29.96	17.16	0	0	0	0
25	-20	1.75	13.33	7.61	0	0	0	0
