Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-75.0000	0.0000	1.5569	0.0226	0.0145	0.0071	0.0046	6.4142	4.1197
-74.5000	0.0000	1.5569	0.0269	0.0172	0.0089	0.0057	6.5032	4.1770
-74.0000	0.0000	1.5580	0.0314	0.0201	0.0008	0.0005	6.6607	4.2752
-73.5000	0.0000	1.5577	0.0378	0.0243	0.0000	0.0000	6.5430	4.2005
-73.0000	0.0000	1.5565	0.0242	0.0155	0.0108	0.0070	6.6812	4.2924
-72.5000	0.0000	1.5572	0.0499	0.0320	0.0007	0.0005	6.6465	4.2683
-72.0000	0.0000	1.5568	0.0307	0.0197	0.0000	0.0000	6.8102	4.3746
-71.5000	0.0000	1.5565	0.0182	0.0117	0.0005	0.0004	6.8606	4.4076
-71.0000	0.0000	1.5568	0.0360	0.0231	0.0113	0.0073	6.8897	4.4257
-70.5000	0.0000	1.5567	0.0189	0.0122	0.0279	0.0179	6.9301	4.4518
-70.0000	0.0000	1.5569	0.0308	0.0198	0.0228	0.0147	7.0389	4.5211
-69.5000	0.0000	1.5595	0.0341	0.0219	0.0090	0.0057	7.0889	4.5458
-69.0000	0.0000	1.5559	0.0413	0.0266	0.0014	0.0009	7.1579	4.6004
-68.5000	0.0000	1.5563	0.0300	0.0193	0.0075	0.0048	7.2037	4.6288
-68.0000	0.0000	1.5572	0.0185	0.0119	0.0012	0.0008	7.1683	4.6034
-67.5000	0.0000	1.5568	0.0468	0.0300	0.0083	0.0054	7.3012	4.6899
-67.0000	0.0000	1.5574	0.0291	0.0187	1.6100	1.0338	7.3986	4.7507
-66.5000	0.0000	1.5568	0.0459	0.0295	0.0017	0.0011	7.4598	4.7918
-66.0000	0.0000	1.5572	0.0348	0.0224	0.0079	0.0051	7.5200	4.8291
-65.5000	0.0000	1.5567	0.0347	0.0223	0.0017	0.0011	7.6092	4.8880
-65.0000	0.0000	1.5566	0.0516	0.0332	0.0005	0.0003	7.7609	4.9858
