 Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.5929	0.0339	0.0213	0.0000	0.0000	0.4021	0.2524
-60.0000	0.0000	1.5933	0.2616	0.1642	0.0010	0.0006	5.5295	3.4705
-40.0000	0.0000	1.5934	34.4452	21.6180	0.0010	0.0006	129.3561	81.1849
-20.0000	0.0000	1.5948	151.4641	94.9722	0.0000	0.0000	487.4940	305.6724
0.0000	0.0000	1.5925	178.5720	112.1327	0.0000	0.0000	574.0045	360.4409
20.0000	0.0000	1.5928	95.4520	59.9278	0.0059	0.0037	321.3266	201.7389
40.0000	0.0000	1.5942	27.3960	17.1850	0.0014	0.0009	97.2845	61.0247
60.0000	0.0000	1.5932	0.2175	0.1365	0.0003	0.0002	4.1567	2.6091
80.0000	0.0000	1.5937	0.0380	0.0239	0.0015	0.0009	0.4331	0.2717
0.0000	-80.0000	1.5933	1.1359	0.7129	0.0003	0.0002	4.6628	2.9266
0.0000	-75.0000	1.5936	1.3916	0.8732	0.0008	0.0005	5.8537	3.6732
0.0000	-70.0000	1.5940	1.7238	1.0814	0.0008	0.0005	7.2383	4.5409
0.0000	-65.0000	1.5933	2.2651	1.4217	0.0007	0.0004	9.6850	6.0787
0.0000	-60.0000	1.5942	3.1949	2.0040	0.0013	0.0008	13.4462	8.4343
0.0000	-55.0000	1.5928	4.7446	2.9788	0.0000	0.0000	19.7940	12.4271
0.0000	-50.0000	1.5946	7.7095	4.8347	0.0004	0.0003	31.0622	19.4792
0.0000	-45.0000	1.5931	12.8996	8.0971	0.0009	0.0006	48.9936	30.7535
0.0000	-40.0000	1.5948	20.1696	12.6471	0.0003	0.0002	74.1498	46.4946
0.0000	-35.0000	1.5936	29.3571	18.4217	0.0007	0.0004	105.8660	66.4314
0.0000	-30.0000	1.5921	40.4054	25.3794	0.0010	0.0006	145.7185	91.5285
0.0000	-25.0000	1.5944	54.5330	34.2018	0.0003	0.0002	196.5547	123.2745
0.0000	-20.0000	1.5927	75.4837	47.3938	0.0000	0.0000	265.9719	166.9955
0.0000	-15.0000	1.5950	104.9335	65.7897	0.0008	0.0005	358.3753	224.6891
0.0000	-10.0000	1.5939	139.6794	87.6331	0.0003	0.0002	459.8198	288.4854
0.0000	-5.0000	1.5935	168.9180	106.0041	0.0003	0.0002	543.3182	340.9582
0.0000	0.0000	1.5929	179.0853	112.4261	0.0018	0.0012	576.4397	361.8771
0.0000	5.0000	1.5937	169.3406	106.2586	0.0000	0.0000	551.1733	345.8526
0.0000	10.0000	1.5948	146.6385	91.9454	0.0108	0.0068	488.1625	306.0882
0.0000	15.0000	1.5933	122.1316	76.6538	0.0007	0.0005	413.7653	259.6928
0.0000	20.0000	1.5950	96.0964	60.2470	0.0232	0.0145	334.7210	209.8512
0.0000	25.0000	1.5944	71.4254	44.7968	0.0003	0.0002	258.2424	161.9652
0.0000	30.0000	1.5932	49.6891	31.1885	0.0010	0.0006	189.7056	119.0728
0.0000	35.0000	1.5939	34.1369	21.4176	0.0010	0.0006	136.9051	85.8945
0.0000	40.0000	1.5946	24.1879	15.1685	0.0004	0.0003	101.5796	63.7016
0.0000	45.0000	1.5933	17.2267	10.8120	0.0003	0.0002	75.7879	47.5671
0.0000	50.0000	1.5932	12.2931	7.7159	0.0009	0.0005	56.4738	35.4466
0.0000	55.0000	1.5948	8.1005	5.0792	0.0013	0.0008	40.3685	25.3121
0.0000	60.0000	1.5941	4.5950	2.8826	0.0005	0.0003	27.0985	16.9997
0.0000	65.0000	1.5944	2.2358	1.4023	0.0007	0.0005	17.6215	11.0519
0.0000	70.0000	1.5944	1.0320	0.6473	0.0010	0.0006	11.5109	7.2197
0.0000	75.0000	1.5941	0.5916	0.3711	0.0003	0.0002	8.0842	5.0712
0.0000	80.0000	1.5924	0.3690	0.2317	0.0000	0.0000	5.8280	3.6599
