Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.5945	0.0131	0.0082	0.0007	0.0005	0.3386	0.2124
-75.0000	0.0000	1.5934	0.0448	0.0281	0.0000	0.0000	0.5035	0.3160
-70.0000	0.0000	1.5939	0.0405	0.0254	0.0000	0.0000	0.6445	0.4044
-65.0000	0.0000	1.5923	0.0708	0.0444	0.0000	0.0000	1.0496	0.6592
-60.0000	0.0000	1.3103	0.0837	0.0639	0.0000	0.0000	1.3467	1.0278
-55.0000	0.0000	1.5588	0.1440	0.0924	0.0000	0.0000	2.9039	1.8629
-50.0000	0.0000	1.5942	0.2436	0.1528	0.0000	0.0000	5.4454	3.4158
-45.0000	0.0000	1.5941	0.5494	0.3446	0.0005	0.0003	10.9176	6.8488
-40.0000	0.0000	1.5942	1.8328	1.1496	0.0000	0.0000	22.8499	14.3328
-35.0000	0.0000	1.5940	7.9268	4.9728	0.0000	0.0000	52.4171	32.8837
-30.0000	0.0000	1.5928	25.8670	16.2395	0.0000	0.0000	117.2361	73.6020
-25.0000	0.0000	1.5938	59.3379	37.2303	0.0000	0.0000	223.8875	140.4734
-20.0000	0.0000	1.5926	104.4548	65.5879	0.0000	0.0000	362.7359	227.7644
-15.0000	0.0000	1.5933	156.3528	98.1335	0.0000	0.0000	516.4417	324.1402
-10.0000	0.0000	1.5944	205.5878	128.9459	0.0000	0.0000	656.5834	411.8129
-5.0000	0.0000	1.5940	238.0599	149.3450	0.0000	0.0000	746.6933	468.4321
0.0000	0.0000	1.5933	238.6273	149.7690	0.0000	0.0000	748.8441	469.9948
5.0000	0.0000	1.5938	210.2232	131.8997	0.0000	0.0000	671.7535	421.4761
10.0000	0.0000	1.5937	168.9666	106.0185	0.0003	0.0002	553.2405	347.1321
15.0000	0.0000	1.5935	127.6708	80.1222	0.0007	0.0004	428.9948	269.2238
20.0000	0.0000	1.5946	91.6292	57.4633	0.0003	0.0002	315.8246	198.0625
25.0000	0.0000	1.5942	58.0521	36.4151	0.0000	0.0000	208.9363	131.0622
30.0000	0.0000	1.5941	29.1302	18.2739	0.0007	0.0004	116.9908	73.3903
35.0000	0.0000	1.5940	9.6905	6.0793	0.0005	0.0003	52.4452	32.9009
40.0000	0.0000	1.5941	2.2537	1.4138	0.0000	0.0000	21.8213	13.6889
45.0000	0.0000	1.5930	0.6101	0.3830	0.0003	0.0002	9.9157	6.2246
50.0000	0.0000	1.5942	0.2737	0.1717	0.0000	0.0000	5.0010	3.1369
55.0000	0.0000	1.5931	0.1465	0.0920	0.0000	0.0000	2.4756	1.5539
60.0000	0.0000	1.5942	0.0993	0.0623	0.0000	0.0000	1.3961	0.8757
65.0000	0.0000	1.5952	0.0784	0.0492	0.0000	0.0000	0.9515	0.5965
70.0000	0.0000	1.5933	0.0561	0.0352	0.0000	0.0000	0.6740	0.4230
75.0000	0.0000	1.5935	0.0310	0.0194	0.0000	0.0000	0.5858	0.3676
80.0000	0.0000	1.5933	0.0180	0.0113	0.0000	0.0000	0.4708	0.2955
0.0000	-20.0000	1.5930	114.8864	72.1209	0.0000	0.0000	386.2715	242.4849
0.0000	0.0000	1.5930	236.2341	148.2991	0.0000	0.0000	743.8313	466.9500
0.0000	20.0000	1.5932	134.7649	84.5890	0.0004	0.0003	449.9420	282.4190
