Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.5921	0.0495	0.0311	0.0005	0.0003	0.9487	0.5959
-75.0000	0.0000	1.5929	0.0752	0.0472	0.0000	0.0000	1.2032	0.7554
-70.0000	0.0000	1.5929	0.0876	0.0550	0.0005	0.0003	1.6004	1.0048
-65.0000	0.0000	1.5938	0.1202	0.0754	0.0000	0.0000	2.2947	1.4397
-60.0000	0.0000	1.5926	0.1313	0.0824	0.0000	0.0000	3.2131	2.0175
-55.0000	0.0000	1.5923	0.2004	0.1259	0.0000	0.0000	4.9355	3.0996
-50.0000	0.0000	1.5932	0.3626	0.2276	0.0004	0.0003	7.7165	4.8434
-45.0000	0.0000	1.5929	0.9261	0.5814	0.0000	0.0000	13.1714	8.2687
-40.0000	0.0000	1.5933	2.8870	1.8119	0.0000	0.0000	23.8527	14.9706
-35.0000	0.0000	1.5927	8.0168	5.0334	0.0000	0.0000	45.0532	28.2868
-30.0000	0.0000	1.5931	18.0607	11.3368	0.0000	0.0000	80.2133	50.3504
-25.0000	0.0000	1.5927	33.0000	20.7192	0.0000	0.0000	130.5450	81.9631
-20.0000	0.0000	1.5932	54.1717	34.0013	0.0000	0.0000	197.5066	123.9667
-15.0000	0.0000	1.5929	79.8674	50.1383	0.0000	0.0000	274.4903	172.3166
-10.0000	0.0000	1.5935	102.1532	64.1067	0.0000	0.0000	338.7456	212.5815
-5.0000	0.0000	1.5931	111.6903	70.1087	0.0000	0.0000	367.7213	230.8210
0.0000	0.0000	1.5941	106.2127	66.6305	0.0003	0.0002	354.2338	222.2217
5.0000	0.0000	1.5930	94.2829	59.1839	0.0000	0.0000	321.9123	202.0731
10.0000	0.0000	1.5940	81.2388	50.9654	0.0000	0.0000	279.6945	175.4671
15.0000	0.0000	1.5924	66.5366	41.7850	0.0000	0.0000	232.5752	146.0573
20.0000	0.0000	1.5934	51.9884	32.6266	0.0000	0.0000	185.2771	116.2752
25.0000	0.0000	1.5943	39.9575	25.0629	0.0000	0.0000	143.9327	90.2802
30.0000	0.0000	1.5932	29.6240	18.5945	0.0000	0.0000	108.6008	68.1668
35.0000	0.0000	1.5923	20.6302	12.9562	0.0000	0.0000	78.5153	49.3092
40.0000	0.0000	1.5934	13.6923	8.5932	0.0000	0.0000	54.8272	34.4093
45.0000	0.0000	1.5933	8.4716	5.3170	0.0000	0.0000	36.1411	22.6831
50.0000	0.0000	1.5940	4.6190	2.8977	0.0000	0.0000	22.2882	13.9823
55.0000	0.0000	1.5932	2.1826	1.3700	0.0000	0.0000	13.0084	8.1649
60.0000	0.0000	1.5923	0.9252	0.5810	0.0000	0.0000	7.4336	4.6684
65.0000	0.0000	1.5934	0.3331	0.2091	0.0000	0.0000	4.1822	2.6247
70.0000	0.0000	1.5944	0.1635	0.1025	0.0000	0.0000	2.6978	1.6920
75.0000	0.0000	1.5927	0.0949	0.0596	0.0000	0.0000	1.8841	1.1830
80.0000	0.0000	1.5929	0.0714	0.0448	0.0001	0.0001	1.4031	0.8808
0.0000	-20.0000	1.5937	100.3597	62.9713	0.0000	0.0000	329.2301	206.5776
0.0000	0.0000	1.5936	106.0878	66.5704	0.0003	0.0002	354.3249	222.3399
0.0000	20.0000	1.5934	93.8850	58.9228	0.0000	0.0000	314.9095	197.6392
