Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.9318	0.0375	0.0194	0.0000	0.0000	0.9026	0.4672
-75.0000	0.0000	1.9318	0.0618	0.0320	0.0000	0.0000	1.0999	0.5694
-70.0000	0.0000	1.9331	0.0975	0.0504	0.0000	0.0000	1.6841	0.8712
-65.0000	0.0000	1.9327	0.1831	0.0947	0.0000	0.0000	2.7872	1.4421
-60.0000	0.0000	1.9315	0.3270	0.1693	0.0000	0.0000	4.9068	2.5405
-55.0000	0.0000	1.9333	1.0062	0.5205	0.0000	0.0000	9.7268	5.0312
-50.0000	0.0000	1.9314	3.5949	1.8613	0.0000	0.0000	20.9764	10.8606
-45.0000	0.0000	1.9331	11.9706	6.1923	0.0000	0.0000	47.1769	24.4043
-40.0000	0.0000	1.9324	29.7297	15.3847	0.0000	0.0000	94.9926	49.1574
-35.0000	0.0000	1.9324	55.6883	28.8177	0.0000	0.0000	162.3559	84.0162
-30.0000	0.0000	1.9318	87.0753	45.0744	0.0000	0.0000	242.5450	125.5529
-25.0000	0.0000	1.9326	117.5004	60.8000	0.0000	0.0000	321.6796	166.4514
-20.0000	0.0000	1.9318	144.2340	74.6646	0.0000	0.0000	393.8841	203.8991
-15.0000	0.0000	1.9323	167.7750	86.8247	0.0000	0.0000	456.3688	236.1739
-10.0000	0.0000	1.9328	189.3281	97.9558	0.0000	0.0000	511.0818	264.4268
-5.0000	0.0000	1.9324	208.5272	107.9125	0.0000	0.0000	556.2196	287.8427
0.0000	0.0000	1.9322	212.5348	109.9988	0.0000	0.0000	565.8958	292.8832
5.0000	0.0000	1.9321	197.5378	102.2399	0.0000	0.0000	527.2612	272.8953
10.0000	0.0000	1.9321	166.8943	86.3816	0.0000	0.0000	451.7890	233.8381
15.0000	0.0000	1.9322	128.2237	66.3629	0.0000	0.0000	354.8095	183.6335
20.0000	0.0000	1.9328	87.3498	45.1933	0.0000	0.0000	251.5593	130.1526
25.0000	0.0000	1.9325	47.8580	24.7652	0.0000	0.0000	150.8832	78.0779
30.0000	0.0000	1.9320	22.3275	11.5565	0.0000	0.0000	81.7111	42.2930
35.0000	0.0000	1.9322	8.9565	4.6354	0.0000	0.0000	41.0745	21.2581
40.0000	0.0000	1.9316	3.5126	1.8185	0.0000	0.0000	20.4268	10.5751
45.0000	0.0000	1.9323	1.2329	0.6380	0.0000	0.0000	10.0322	5.1918
50.0000	0.0000	1.9319	0.4892	0.2532	0.0000	0.0000	5.1654	2.6737
55.0000	0.0000	1.9319	0.2073	0.1073	0.0000	0.0000	2.9772	1.5411
60.0000	0.0000	1.9311	0.1164	0.0603	0.0000	0.0000	1.8929	0.9802
65.0000	0.0000	1.9319	0.0760	0.0393	0.0000	0.0000	1.4971	0.7750
70.0000	0.0000	1.9313	0.0601	0.0311	0.0000	0.0000	1.2333	0.6386
75.0000	0.0000	1.9327	0.0278	0.0144	0.0000	0.0000	1.0211	0.5283
80.0000	0.0000	1.9311	0.0228	0.0118	0.0000	0.0000	0.9352	0.4843
0.0000	-80.0000	1.9315	0.4282	0.2217	0.0000	0.0000	2.7476	1.4225
0.0000	-75.0000	1.9322	1.3186	0.6825	0.0000	0.0000	6.2328	3.2258
0.0000	-70.0000	1.9320	2.8692	1.4851	0.0000	0.0000	11.5571	5.9819
0.0000	-65.0000	1.9320	5.7886	2.9961	0.0000	0.0000	20.5633	10.6433
0.0000	-60.0000	1.9311	11.9860	6.2068	0.0000	0.0000	37.5481	19.4438
0.0000	-55.0000	1.9323	21.3775	11.0634	0.0000	0.0000	62.6730	32.4349
0.0000	-50.0000	1.9316	34.6950	17.9621	0.0000	0.0000	97.8265	50.6462
0.0000	-45.0000	1.9324	51.1607	26.4752	0.0000	0.0000	142.1015	73.5363
0.0000	-40.0000	1.9315	71.7678	37.1566	0.0000	0.0000	197.9334	102.4768
0.0000	-35.0000	1.9322	102.3137	52.9518	0.0000	0.0000	275.3165	142.4882
0.0000	-30.0000	1.9314	138.2563	71.5847	0.0000	0.0000	365.5803	189.2857
0.0000	-25.0000	1.9318	176.7884	91.5141	0.0000	0.0000	459.0332	237.6174
0.0000	-20.0000	1.9317	202.9375	105.0545	0.0000	0.0000	525.9077	272.2462
0.0000	-15.0000	1.9325	216.3011	111.9289	0.0000	0.0000	564.2087	291.9600
0.0000	-10.0000	1.9325	219.5789	113.6261	0.0000	0.0000	577.2934	298.7335
0.0000	-5.0000	1.9320	217.6920	112.6778	0.0000	0.0000	575.3442	297.7991
0.0000	0.0000	1.9319	209.4766	108.4282	0.0000	0.0000	556.9105	288.2651
0.0000	5.0000	1.9324	196.7020	101.7917	0.0000	0.0000	526.5778	272.4997
0.0000	10.0000	1.9324	181.2049	93.7722	0.0000	0.0000	488.2813	252.6821
0.0000	15.0000	1.9316	163.1894	84.4825	0.0000	0.0000	443.9037	229.8073
0.0000	20.0000	1.9322	140.7048	72.8216	0.0000	0.0000	387.8419	200.7272
0.0000	25.0000	1.9328	117.5673	60.8267	0.0000	0.0000	330.1057	170.7894
0.0000	30.0000	1.9319	96.0178	49.7019	0.0000	0.0000	273.2710	141.4540
0.0000	35.0000	1.9324	76.0644	39.3622	0.0000	0.0000	221.6510	114.7010
0.0000	40.0000	1.9309	59.2578	30.6886	0.0000	0.0000	177.1075	91.7208
0.0000	45.0000	1.9322	45.4906	23.5436	0.0000	0.0000	137.0733	70.9421
0.0000	50.0000	1.9324	33.2781	17.2207	0.0000	0.0000	103.2828	53.4467
0.0000	55.0000	1.9323	22.3096	11.5455	0.0000	0.0000	72.2510	37.3908
0.0000	60.0000	1.9324	10.3675	5.3652	0.0000	0.0000	41.3662	21.4070
0.0000	65.0000	1.9316	2.5713	1.3312	0.0000	0.0000	20.1816	10.4480
0.0000	70.0000	1.9325	0.4983	0.2579	0.0000	0.0000	11.4109	5.9049
0.0000	75.0000	1.9317	0.2122	0.1099	0.0000	0.0000	8.0509	4.1678
0.0000	80.0000	1.9323	0.1242	0.0643	0.0000	0.0000	5.9586	3.0838
