Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9459	0.0491	0.0252	8.6157	4.4277	1.2569	0.6460
-55.0000	0.0000	1.9457	0.0631	0.0325	7.2273	3.7145	2.2028	1.1321
-50.0000	0.0000	1.9452	0.1229	0.0632	7.1636	3.6828	3.9834	2.0478
-45.0000	0.0000	1.9455	0.2239	0.1151	8.6493	4.4459	6.7335	3.4611
-40.0000	0.0000	1.9454	0.7178	0.3690	8.3244	4.2790	12.3626	6.3548
-35.0000	0.0000	1.9455	3.0644	1.5751	9.3272	4.7943	25.1355	12.9200
-30.0000	0.0000	1.9454	11.3991	5.8594	7.7342	3.9755	54.9351	28.2378
-25.0000	0.0000	1.9453	28.1199	14.4553	8.1167	4.1725	106.6104	54.8040
-20.0000	0.0000	1.9453	48.2397	24.7979	7.6867	3.9514	168.6219	86.6813
-15.0000	0.0000	1.9454	68.7921	35.3606	8.5240	4.3815	231.8567	119.1792
-10.0000	0.0000	1.9454	90.2246	46.3792	7.9530	4.0882	294.5981	151.4358
-5.0000	0.0000	1.9455	109.5115	56.2907	7.5447	3.8781	348.6831	179.2288
0.0000	0.0000	1.9455	116.9512	60.1136	8.3946	4.3149	369.7289	190.0428
5.0000	0.0000	1.9456	110.9919	57.0467	8.4776	4.3572	354.6026	182.2558
10.0000	0.0000	1.9455	95.7821	49.2334	8.5721	4.4062	311.4736	160.1021
15.0000	0.0000	1.9450	76.5496	39.3570	8.1780	4.2046	255.7282	131.4793
20.0000	0.0000	1.9453	55.7790	28.6742	8.1288	4.1788	193.0815	99.2571
25.0000	0.0000	1.9461	37.6465	19.3447	7.9671	4.0939	136.8837	70.3380
30.0000	0.0000	1.9459	23.5245	12.0891	8.3332	4.2824	90.2788	46.3938
35.0000	0.0000	1.9459	12.0862	6.2111	8.5009	4.3687	53.6232	27.5572
40.0000	0.0000	1.9459	4.6126	2.3704	7.5908	3.9010	28.1516	14.4674
45.0000	0.0000	1.9464	1.7822	0.9156	7.5269	3.8671	15.8627	8.1498
50.0000	0.0000	1.9461	0.9344	0.4801	6.8956	3.5434	10.2022	5.2425
55.0000	0.0000	1.9460	0.5178	0.2661	8.0349	4.1290	7.0471	3.6214
60.0000	0.0000	1.9456	0.2885	0.1483	7.9300	4.0758	4.7668	2.4500
0.0000	-60.0000	1.9461	54.9501	28.2361	7.0683	3.6320	175.0044	89.9258
0.0000	-40.0000	1.9457	102.2672	52.5603	8.9857	4.6182	327.3065	168.2192
0.0000	-20.0000	1.9454	114.7852	59.0029	7.9246	4.0735	366.1020	188.1870
0.0000	0.0000	1.9456	116.7421	60.0038	8.6770	4.4598	368.9920	189.6566
0.0000	20.0000	1.9456	105.3764	54.1618	9.1782	4.7174	331.9184	170.6007
0.0000	40.0000	1.9383	86.2498	44.4969	10.1004	5.2109	269.2122	138.8887
0.0000	60.0000	1.9459	46.5779	23.9366	7.8813	4.0502	142.3720	73.1656
