Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm
-24.97	-24.97	1.9605	0.98	0.499872	0	0	0	0
-20.03	-24.99	1.9615	1.55	0.790212	0	0	0	0
-15.03	-25	1.9603	2.56	1.30592	0	0	0	0
-10.02	-25.01	1.9583	3.82	1.95067	0	0	0	0
-5.03	-25.01	1.9615	5.48	2.79378	0	0	0	0
-0.03	-25.01	1.9606	5.83	2.97358	0	0	0	0
4.97	-25.01	1.9599	6.16	3.14302	0	0	0	0
9.97	-25.01	1.96	6.05	3.08673	0	0	0	0
14.97	-25.01	1.7229	3.21	1.86314	0	0	0	0
19.96	-25.01	1.961	2.3	1.17287	0	0	0	0
24.97	-25.01	1.9603	1.3	0.663164	0	0	0	0
-24.97	-20	1.9634	1.04	0.529693	0	0	0	0
-20.03	-20	1.9605	2.4	1.22418	0	0	0	0
-15.03	-20.01	1.9606	5.71	2.91237	0	0	0	0
-10.03	-20.01	1.9622	10.79	5.49893	0	0	0	0
-5.03	-20.01	1.9614	18.51	9.43714	0	0	0	0
-0.03	-20.01	1.9596	22.22	11.339	0	0	0	0
4.97	-20.01	1.9611	25.09	12.7938	0	0	0	0
9.97	-20.01	1.9603	20.92	10.6718	0	0	0	0
14.97	-20.01	1.9616	12.85	6.55077	0	0	0	0
19.97	-20.01	1.9593	5.02	2.56214	0	0	0	0
24.97	-20.01	1.9608	2.29	1.16789	0	0	0	0
-24.97	-15	1.9601	1.73	0.882608	0	0	0	0
-20.03	-15	1.9606	5.33	2.71856	0	0	0	0
-15.03	-15.01	1.9611	18.25	9.306	0	0	0	0
-10.03	-15.01	1.9603	46.26	23.5984	0	0	0	0
-5.03	-15.01	1.9603	92.23	47.0489	0	0	0	0
-0.03	-15.01	1.9603	123.36	62.9291	0	0	0	0
4.97	-15.01	1.9595	122.07	62.2965	0	0	0	0
9.97	-15.01	1.9618	91.83	46.8091	0	0	0	0
14.97	-15.01	1.9595	49.12	25.0676	0	0	0	0
19.96	-15.01	1.9597	14.26	7.27662	0	0	0	0
24.97	-15.01	1.9603	3.38	1.72423	0	0	0	0
