Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-120.0000	0.0000	1.9468	22.3660	11.4886	0.0000	0.0000	58.1682	29.8788
-110.0000	0.0000	1.9465	23.8336	12.2442	0.0000	0.0000	61.7387	31.7175
-100.0000	0.0000	1.9465	25.4516	13.0756	0.0000	0.0000	65.3361	33.5660
-90.0000	0.0000	1.9467	27.2794	14.0132	0.0000	0.0000	69.5322	35.7183
-80.0000	0.0000	1.9460	28.9214	14.8617	0.0000	0.0000	73.5894	37.8151
-70.0000	0.0000	1.9461	30.5887	15.7176	0.0000	0.0000	77.7628	39.9574
-60.0000	0.0000	1.9474	32.2208	16.5455	0.0000	0.0000	81.2179	41.7059
-50.0000	0.0000	1.9471	33.8733	17.3965	0.0000	0.0000	85.1126	43.7118
-40.0000	0.0000	1.9461	35.1083	18.0403	0.0000	0.0000	87.7690	45.0997
-30.0000	0.0000	1.9467	36.8020	18.9049	0.0000	0.0000	91.3595	46.9308
-20.0000	0.0000	1.9479	37.9267	19.4702	0.0000	0.0000	94.6027	48.5657
-10.0000	0.0000	1.9458	38.7604	19.9198	0.0000	0.0000	96.0120	49.3426
0.0000	0.0000	1.9468	39.8462	20.4673	0.0000	0.0000	98.0818	50.3805
10.0000	0.0000	1.9462	40.5268	20.8236	0.0000	0.0000	99.7634	51.2606
20.0000	0.0000	1.9463	41.1955	21.1658	0.0000	0.0000	101.0376	51.9121
30.0000	0.0000	1.9472	41.2526	21.1861	0.0000	0.0000	101.1838	51.9650
40.0000	0.0000	1.9465	41.3330	21.2349	0.0000	0.0000	101.2137	51.9989
50.0000	0.0000	1.9460	40.8080	20.9705	0.0000	0.0000	99.2702	51.0131
60.0000	0.0000	1.9461	39.7103	20.4048	0.0000	0.0000	97.2316	49.9615
70.0000	0.0000	1.9467	38.4865	19.7706	0.0000	0.0000	94.6161	48.6046
80.0000	0.0000	1.9458	37.0197	19.0251	0.0000	0.0000	91.6433	47.0972
90.0000	0.0000	1.9467	35.0652	18.0127	0.0000	0.0000	87.9265	45.1670
100.0000	0.0000	1.9457	33.3778	17.1549	0.0000	0.0000	84.4452	43.4014
110.0000	0.0000	1.9465	31.3737	16.1179	0.0000	0.0000	78.6188	40.3896
120.0000	0.0000	1.9466	24.5043	12.5880	0.0000	0.0000	58.3627	29.9812
0.0000	-120.0000	1.9461	0.0302	0.0155	0.0000	0.0000	0.5912	0.3038
0.0000	-110.0000	1.9472	0.0425	0.0218	0.0000	0.0000	0.6395	0.3284
0.0000	-100.0000	1.9457	0.0467	0.0240	0.0000	0.0000	0.6927	0.3560
0.0000	-90.0000	1.9464	0.0708	0.0364	0.0000	0.0000	0.6925	0.3558
0.0000	-80.0000	1.9476	0.0725	0.0372	0.0000	0.0000	0.7186	0.3690
0.0000	-70.0000	1.9469	0.0627	0.0322	0.0000	0.0000	0.7349	0.3775
0.0000	-60.0000	1.9467	0.0764	0.0393	0.0000	0.0000	0.8760	0.4500
0.0000	-50.0000	1.9466	0.2448	0.1258	0.0000	0.0000	1.6562	0.8508
0.0000	-40.0000	1.9466	1.3735	0.7056	0.0000	0.0000	5.0863	2.6130
0.0000	-30.0000	1.9464	4.5928	2.3596	0.0000	0.0000	14.3760	7.3859
0.0000	-20.0000	1.9473	13.5307	6.9485	0.0000	0.0000	37.8974	19.4617
0.0000	-10.0000	1.9458	29.7099	15.2689	0.0000	0.0000	76.1631	39.1427
0.0000	0.0000	1.9470	39.7483	20.4148	0.0000	0.0000	98.0594	50.3634
0.0000	10.0000	1.9459	27.1657	13.9603	0.0000	0.0000	70.5672	36.2640
0.0000	20.0000	1.9462	10.7399	5.5185	0.0000	0.0000	32.7924	16.8498
0.0000	30.0000	1.9463	3.7712	1.9376	0.0000	0.0000	14.6025	7.5027
0.0000	40.0000	1.9467	1.2735	0.6542	0.0000	0.0000	7.3090	3.7546
0.0000	50.0000	1.9466	0.3419	0.1757	0.0000	0.0000	4.0289	2.0698
0.0000	60.0000	1.9469	0.0995	0.0511	0.0000	0.0000	2.4803	1.2740
0.0000	70.0000	1.9463	0.0656	0.0337	0.0000	0.0000	1.6872	0.8669
0.0000	80.0000	1.9467	0.0538	0.0277	0.0000	0.0000	1.1467	0.5891
0.0000	90.0000	1.9475	0.0560	0.0287	0.0000	0.0000	0.8233	0.4227
0.0000	100.0000	1.9475	0.0401	0.0206	0.0000	0.0000	0.6800	0.3491
0.0000	110.0000	1.9466	0.0356	0.0183	0.0000	0.0000	0.6239	0.3205
0.0000	120.0000	1.9466	0.0415	0.0213	0.0000	0.0000	0.5623	0.2889
