Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-120.0000	0.0000	1.9465	22.8039	11.7155	0.0000	0.0000	59.2201	30.4243
-110.0000	0.0000	1.9466	25.0754	12.8815	0.0000	0.0000	64.5349	33.1523
-100.0000	0.0000	1.9461	27.3129	14.0346	0.0000	0.0000	70.0325	35.9857
-90.0000	0.0000	1.9464	29.5404	15.1767	0.0000	0.0000	75.5740	38.8270
-80.0000	0.0000	1.9470	31.9544	16.4121	0.0000	0.0000	81.1761	41.6930
-70.0000	0.0000	1.9466	34.2002	17.5691	0.0000	0.0000	86.5582	44.4660
-60.0000	0.0000	1.9471	36.5013	18.7469	0.0000	0.0000	92.0456	47.2743
-50.0000	0.0000	1.9465	38.8035	19.9355	0.0000	0.0000	97.3021	49.9893
-40.0000	0.0000	1.9472	40.7048	20.9039	0.0000	0.0000	101.5621	52.1570
-30.0000	0.0000	1.9472	42.6590	21.9077	0.0000	0.0000	106.6994	54.7958
-20.0000	0.0000	1.9470	44.4895	22.8506	0.0000	0.0000	110.4658	56.7372
-10.0000	0.0000	1.9470	45.9091	23.5800	0.0000	0.0000	113.0335	58.0566
0.0000	0.0000	1.9472	46.4804	23.8707	0.0000	0.0000	114.6652	58.8879
10.0000	0.0000	1.9470	47.1027	24.1921	0.0000	0.0000	116.3276	59.7463
20.0000	0.0000	1.9459	46.9057	24.1047	0.0000	0.0000	115.7339	59.4753
30.0000	0.0000	1.9458	46.6430	23.9714	0.0000	0.0000	114.6722	58.9340
40.0000	0.0000	1.9461	45.4137	23.3352	0.0000	0.0000	112.3332	57.7208
50.0000	0.0000	1.9460	43.6902	22.4513	0.0000	0.0000	108.1053	55.5526
60.0000	0.0000	1.9459	41.9834	21.5757	0.0000	0.0000	104.1035	53.4999
70.0000	0.0000	1.9468	39.7002	20.3930	0.0000	0.0000	99.1655	50.9388
80.0000	0.0000	1.9466	37.2947	19.1590	0.0000	0.0000	93.6852	48.1280
90.0000	0.0000	1.9469	34.3005	17.6176	0.0000	0.0000	87.5688	44.9776
100.0000	0.0000	1.9469	31.0213	15.9336	0.0000	0.0000	80.4405	41.3169
110.0000	0.0000	1.9461	28.1685	14.4745	0.0000	0.0000	72.6554	37.3344
120.0000	0.0000	1.9466	17.2046	8.8384	0.0000	0.0000	43.8449	22.5242
0.0000	-120.0000	1.9468	0.0470	0.0241	0.0000	0.0000	0.6056	0.3111
0.0000	-110.0000	1.9473	0.0490	0.0252	0.0000	0.0000	0.6403	0.3288
0.0000	-100.0000	1.9474	0.0485	0.0249	0.0000	0.0000	0.6518	0.3347
0.0000	-90.0000	1.9465	0.0526	0.0270	0.0000	0.0000	0.6198	0.3184
0.0000	-80.0000	1.9462	0.0524	0.0269	0.0000	0.0000	0.6294	0.3234
0.0000	-70.0000	1.9462	0.0708	0.0364	0.0000	0.0000	0.7611	0.3910
0.0000	-60.0000	1.9466	0.0814	0.0418	0.0000	0.0000	0.8915	0.4580
0.0000	-50.0000	1.9457	0.2305	0.1185	0.0000	0.0000	1.5683	0.8060
0.0000	-40.0000	1.9474	1.2006	0.6165	0.0000	0.0000	4.8195	2.4748
0.0000	-30.0000	1.9479	4.6816	2.4034	0.0000	0.0000	15.3963	7.9042
0.0000	-20.0000	1.9465	16.3688	8.4093	0.0000	0.0000	44.9106	23.0724
0.0000	-10.0000	1.9468	33.3319	17.1216	0.0000	0.0000	85.9209	44.1348
0.0000	0.0000	1.9460	46.1881	23.7346	0.0000	0.0000	114.6862	58.9337
0.0000	10.0000	1.9467	33.3752	17.1448	0.0000	0.0000	86.4509	44.4098
0.0000	20.0000	1.9462	14.7929	7.6008	0.0000	0.0000	43.1152	22.1531
0.0000	30.0000	1.9459	3.8959	2.0022	0.0000	0.0000	16.1785	8.3143
0.0000	40.0000	1.9464	1.2530	0.6437	0.0000	0.0000	7.8026	4.0087
0.0000	50.0000	1.9463	0.3776	0.1940	0.0000	0.0000	4.4724	2.2979
0.0000	60.0000	1.9475	0.1051	0.0540	0.0000	0.0000	2.7730	1.4239
0.0000	70.0000	1.9471	0.0489	0.0251	0.0000	0.0000	1.8596	0.9551
0.0000	80.0000	1.9473	0.0401	0.0206	0.0000	0.0000	1.2407	0.6371
0.0000	90.0000	1.9465	0.0450	0.0231	0.0000	0.0000	0.8248	0.4238
0.0000	100.0000	1.9471	0.0358	0.0184	0.0000	0.0000	0.6536	0.3357
0.0000	110.0000	1.9462	0.0273	0.0140	0.0000	0.0000	0.5919	0.3041
0.0000	120.0000	1.9471	0.0320	0.0164	0.0000	0.0000	0.5389	0.2768
